,gvkey_focal,year,gvkey1,gvkey2,score,gvkey_peer,focal_ticker,focal_company_name,focal_cik,focal_primary_sic,peer_ticker,peer_company_name
66,001690,1989,1690,3813,0.0039,003813,AAPL,Apple Inc.,0000320193,3571,TGT,Target Corp.
144,002184,1989,2184,5680,0.0647,005680,BBY,Best Buy Co. Inc.,0000764478,5731,HD,Home Depot Inc.
155,002184,1989,2184,11259,0.0298,011259,BBY,Best Buy Co. Inc.,0000764478,5731,WMT,Walmart Inc.
157,002184,1989,2184,11672,0.0062,011672,BBY,Best Buy Co. Inc.,0000764478,5731,TJX,TJX Companies Inc.
158,002184,1989,2184,11814,0.0446,011814,BBY,Best Buy Co. Inc.,0000764478,5731,COST,Costco Wholesale Corp.
193,003813,1989,3813,1690,0.0039,001690,TGT,Target Corp.,0000027419,5331,AAPL,Apple Inc.
290,003813,1989,3813,12141,0.0145,012141,TGT,Target Corp.,0000027419,5331,MSFT,Microsoft Corp.
377,004016,1989,4016,11259,0.0092,011259,DG,Dollar General Corp.,0000029534,5331,WMT,Walmart Inc.
378,004016,1989,4016,11672,0.0125,011672,DG,Dollar General Corp.,0000029534,5331,TJX,TJX Companies Inc.
384,005680,1989,5680,2184,0.0647,002184,HD,Home Depot Inc.,0000354950,5251,BBY,Best Buy Co. Inc.
404,005680,1989,5680,11814,0.0185,011814,HD,Home Depot Inc.,0000354950,5251,COST,Costco Wholesale Corp.
470,006502,1989,6502,11259,0.1105,011259,KR,Kroger Co.,0000056873,5411,WMT,Walmart Inc.
471,006502,1989,6502,11264,0.0283,011264,KR,Kroger Co.,0000056873,5411,WBA,Walgreens Boots Alliance Inc.
474,006502,1989,6502,11672,0.0575,011672,KR,Kroger Co.,0000056873,5411,TJX,TJX Companies Inc.
509,007241,1989,7241,11672,0.0187,011672,CVS,CVS Health Corp.,0000064803,5912,TJX,TJX Companies Inc.
515,011259,1989,11259,2184,0.0298,002184,WMT,Walmart Inc.,0000104169,5331,BBY,Best Buy Co. Inc.
527,011259,1989,11259,4016,0.0092,004016,WMT,Walmart Inc.,0000104169,5331,DG,Dollar General Corp.
539,011259,1989,11259,6502,0.1105,006502,WMT,Walmart Inc.,0000104169,5331,KR,Kroger Co.
558,011259,1989,11259,11672,0.1016,011672,WMT,Walmart Inc.,0000104169,5331,TJX,TJX Companies Inc.
559,011259,1989,11259,11814,0.0299,011814,WMT,Walmart Inc.,0000104169,5331,COST,Costco Wholesale Corp.
582,011264,1989,11264,6502,0.0283,006502,WBA,Walgreens Boots Alliance Inc.,0001618921,5912,KR,Kroger Co.
597,011672,1989,11672,2184,0.0062,002184,TJX,TJX Companies Inc.,0000109198,5651,BBY,Best Buy Co. Inc.
608,011672,1989,11672,4016,0.0125,004016,TJX,TJX Companies Inc.,0000109198,5651,DG,Dollar General Corp.
